bathrooms;bedrooms;livingArea;age;price
3;5;3470;7;1165000
4;5;3374;85;1050000
3;3;3265;20;442500
3;3;3192;36;765000
3;4;3157;73;815000
4;5;2969;7;620000
2;4;2964;113;570000
3;4;2929;6;620000
3;4;2908;19;660000
3;4;2853;29;710000
4;4;2829;21;525000
2;4;2824;69;579000
3;4;2812;5;625000
3;4;2795;27;700000
4;4;2787;6;735000
3;3;2776;94;617000
4;4;2685;19;515000
3;3;2677;85;775000
2;4;2657;97;577000
2;3;2622;103;715000
2;4;2602;103;568300
3;3;2589;47;592500
3;4;2588;71;760000
2;4;2572;96;559500
3;3;2566;3;487750
2;3;2465;95;680000
2;3;2443;107;747500
3;4;2422;86;675000
2;4;2356;64;471500
3;4;2344;20;515000
3;4;2338;71;450000
5;6;2326;5;601500
3;4;2300;63;749000
3;4;2280;18;475000
1;3;2279;114;599375
3;5;2275;31;580000
3;3;2241;76;1112500
2;3;2240;110;600000
2;3;2238;20;525000
3;4;2214;24;495000
2;4;2212;64;574500
2;3;2177;101;660000
2;3;2102;83;575000
3;3;2059;8;529900
3;4;2024;27;459900
3;4;2016;18;603000
2;3;1986;61;490000
1;2;1936;104;521000
2;5;1920;64;390000
2;4;1868;75;578698
3;4;1850;5;561000
3;3;1838;14;430000
2;3;1824;11;595000
3;4;1799;50;475000
3;4;1799;45;465000
2;2;1798;17;509000
2;3;1782;48;489000
1;2;1770;81;350000
2;3;1742;50;448000
2;3;1741;50;475000
3;3;1710;39;500000
2;3;1702;81;525000
3;3;1652;27;430000
2;3;1650;25;490000
2;2;1634;113;500000
3;3;1632;4;675000
3;3;1630;22;480000
2;4;1624;28;439000
1;3;1604;65;355000
1;3;1586;63;329000
3;4;1574;3;539318
2;3;1566;38;500000
3;3;1564;33;455000
2;3;1562;40;470000
1;2;1540;96;541500
3;2;1500;36;435000
3;2;1371;5;360000
2;3;1360;50;405000
2;3;1358;43;455000
2;3;1336;58;375000
3;3;1316;3;287995
3;3;1314;20;340000
3;2;1312;20;330000
2;3;1303;54;395000
2;3;1275;62;340000
1;2;1253;100;270000
2;3;1238;49;415000
2;2;1185;50;354500
2;3;1149;23;344000
2;3;1144;34;375000
2;2;1141;44;235000
2;3;1124;17;315000
1;2;1102;77;295000
1;3;1012;50;390000
1;2;861;50;165000
1;3;838;72;250000
1;2;832;47;260000
1;2;812;46;220000
1;2;810;97;546500
1;1;766;83;370000
